Estados	Clima (Köppen)	T. máx. abs.	T. máx. méd.	T. méd.	T. mín. méd.	T. mín. abs.	Precip. anual
 Tocantins	Aw	43,0 	32,1 	25,0 	19,4 	11,5 	1 301,2
 Sergipe	As'	35,3 	28,5 	26,0 	23,2 	11,0 	1 695,2
 São Paulo	Cfa	38,8 	26,9 	23,2 	13,6 	-2,1 	1 441,0
 Santa Catarina	Cfa	39,7 	24,2 	20,4 	17,5 	0,7 	1 517,8
 Roraima	Aw	42,0 	32,4 	27,4 	23,2 	10,2 	1 420,4
 Rondônia	Am	40,9 	32,3 	25,6 	20,9 	7,4 	2 255,4
 Rio Grande do Sul	Cfa	40,6 	24,8 	19,5 	15,6 	-4,0 	1 320,2
 Rio Grande do Norte	As'	34,0 	29,3 	26,0 	22,5 	10,6 	1 465,4
 Rio de Janeiro	Aw	42,5ºC	34,7ºc	31,9 	21,2ºC	8,7	1 251,0 
 Piauí	Aw'	41,1 	33,5 	27,1 	22,1 	10,4 	1 393,2
 Pernambuco	As'	35,1 	29,1 	25,5 	21,8 	15,0 	2 417,6
 Paraná	Cfb	35,2 	23,1 	16,8 	12,5 	-5,4 	1 483,4
 Paraíba	As'	34,8 	29,3 	26,1 	22,5 	15,0 	2 145,4
  Pará	Af	38,5 	31,5 	25,9 	22,1 	18,5 	2 921,7
 Minas Gerais	Aw/Cwa	37,4 	27,1 	21,1 	16,7 	0,1 	1 463,7
 Mato Grosso do Sul	Aw	40,2 	28,8 	22,8 	18,0 	-0,9 	1 533,8
 Mato Grosso	Aw	44 	38,6 	31,8 	27,4 	3,3 	1 342,3
 Maranhão	Am	37,2 	30,4 	26,1 	23,3 	13,1 	2 290,0
 Goiás	Aw	40,4 	29,8 	23,2 	17,7 	2,6 	1 571,4
 Espírito Santo	Aw	39,6 	28,9 	24,8 	13,7 	-1,3 	1 252,3
 Distrito Federal	Aw	35,8 	26,6 	20,6 	16,1 	1,6 	1 540,6
 Ceará	As'	37,0 	30,1 	26,6 	23,6 	19,4 	1 608,4
  Bahia	Af	37,0 	33,7 	28,3 	26,3 	15,3 	2 144,1
 Amazonas	Am	39,0 	31,4 	26,7 	23,3 	12,0 	2 307,4
 Amapá	Am	39,6 	30,7 	26,6 	23,3 	19,6 	2 561,3
 Alagoas	As'	38,4 	28,9 	24,8 	21,6 	11,3 	2 070,5
 Acre	Am	39,8 	31,5 	24,8 	19,8 	6,0 	1 947,5
